Node, BMPs
23,30
26,30
27,29
28,30
29,30
31,30
33,30
35,29
36,29
37,29
39,29
40,30
41,30
42,30
43,29
44,29
45,29
46,29
47,30
48,29
49,29
51,29
54,30
55,30
56,29
57,30
58,29
59,29
60,57
61,57
63,30
66,30
67,30
69,29
71,29
72,30
73,29
74,30
75,30
76,29
77,30
78,29
79,30
81,30
82,29
83,30
84,30
85,30
87,30
89,30
90,30
91,30
92,30
93,30
95,30
96,30
97,30
99,30
100,30
102,30
104,30
105,30
107,30
108,29
110,30
113,30
120,30
121,30
122,29
127,30
133,30
136,30
140,30
143,30
144,30
151,26
152,30
167,30
168,30
169,30
171,30
175,30
176,30
181,30
182,30
186,30
188,30
196,29
199,30
204,30
208,30
210,30
211,30
213,30
214,42
