,Subbasin,BMP,LU_Base,LU_BMP
0,22,30,26,826
1,23,30,26,826
2,26,30,26,826
3,27,29,26,426
4,28,29,26,426
5,29,30,26,826
6,31,30,26,826
7,32,30,26,826
8,33,30,26,826
9,35,30,26,826
10,36,29,26,426
11,37,29,26,426
12,39,29,26,426
13,41,30,26,826
14,42,30,26,826
15,43,29,26,426
16,44,30,26,826
17,45,29,26,426
18,46,29,26,426
19,47,30,26,826
20,48,29,26,426
21,49,30,26,826
22,51,29,26,426
23,54,30,26,826
24,55,30,26,826
25,56,29,26,426
26,57,30,26,826
27,58,29,26,426
28,59,29,26,426
29,60,57,36,336
30,61,55,36,136
31,63,30,26,826
32,66,30,26,826
33,67,30,26,826
34,69,29,26,426
35,71,29,26,426
36,72,30,26,826
37,73,29,26,426
38,74,30,26,826
39,75,30,26,826
40,76,29,26,426
41,77,30,26,826
42,78,29,26,426
43,79,29,26,426
44,81,30,26,826
45,82,29,26,426
46,83,30,26,826
47,84,30,26,826
48,85,30,26,826
49,87,30,26,826
50,88,30,26,826
51,89,30,26,826
52,90,30,26,826
53,91,30,26,826
54,92,30,26,826
55,93,30,26,826
56,95,30,26,826
57,96,30,26,826
58,97,30,26,826
59,99,30,26,826
60,100,30,26,826
61,102,30,26,826
62,104,30,26,826
63,105,30,26,826
64,107,30,26,826
65,108,29,26,426
66,110,30,26,826
67,113,30,26,826
68,120,30,26,826
69,121,30,26,826
70,122,29,26,426
71,127,29,26,426
72,133,30,26,826
73,136,30,26,826
74,140,30,26,826
75,143,30,26,826
76,144,30,26,826
77,151,30,26,826
78,152,30,26,826
79,154,30,26,826
80,167,30,26,826
81,168,30,26,826
82,169,30,26,826
83,171,30,26,826
84,175,30,26,826
85,176,30,26,826
86,179,30,26,826
87,181,29,26,426
88,182,29,26,426
89,183,30,26,826
90,186,30,26,826
91,188,30,26,826
92,189,30,26,826
93,196,29,26,426
94,199,30,26,826
95,204,30,26,826
96,208,29,26,426
97,210,30,26,826
98,211,30,26,826
99,213,30,26,826
100,214,42,28,428
101,215,30,26,826
102,219,30,26,826
