,Subbasin,BMP,LU_Base,LU_BMP
0,21,30,26,826
1,22,30,26,826
2,23,30,26,826
3,26,30,26,826
4,27,29,26,426
5,28,29,26,426
6,29,29,26,426
7,30,26,26,126
8,31,29,26,426
9,32,30,26,826
10,33,30,26,826
11,35,29,26,426
12,36,29,26,426
13,37,29,26,426
14,39,29,26,426
15,40,30,26,826
16,41,29,26,426
17,42,30,26,826
18,43,29,26,426
19,44,29,26,426
20,45,29,26,426
21,46,29,26,426
22,47,30,26,826
23,48,29,26,426
24,49,29,26,426
25,51,29,26,426
26,54,30,26,826
27,55,30,26,826
28,56,29,26,426
29,57,29,26,426
30,58,29,26,426
31,59,29,26,426
32,60,57,36,336
33,61,57,36,336
34,63,29,26,426
35,66,29,26,426
36,67,29,26,426
37,69,29,26,426
38,71,29,26,426
39,72,29,26,426
40,73,29,26,426
41,74,29,26,426
42,75,29,26,426
43,76,29,26,426
44,77,30,26,826
45,78,29,26,426
46,79,29,26,426
47,81,29,26,426
48,82,29,26,426
49,83,29,26,426
50,84,30,26,826
51,85,29,26,426
52,86,30,26,826
53,87,29,26,426
54,88,30,26,826
55,89,30,26,826
56,90,29,26,426
57,91,29,26,426
58,92,30,26,826
59,93,30,26,826
60,94,30,26,826
61,95,29,26,426
62,96,29,26,426
63,97,29,26,426
64,98,30,26,826
65,99,30,26,826
66,100,30,26,826
67,102,30,26,826
68,104,29,26,426
69,105,30,26,826
70,106,30,26,826
71,107,30,26,826
72,108,29,26,426
73,110,30,26,826
74,111,30,26,826
75,113,30,26,826
76,120,29,26,426
77,121,29,26,426
78,122,29,26,426
79,127,29,26,426
80,131,30,26,826
81,133,29,26,426
82,136,30,26,826
83,140,29,26,426
84,143,29,26,426
85,144,30,26,826
86,145,30,26,826
87,151,30,26,826
88,152,29,26,426
89,154,30,26,826
90,159,30,26,826
91,167,29,26,426
92,168,29,26,426
93,169,30,26,826
94,171,29,26,426
95,175,30,26,826
96,176,29,26,426
97,179,30,26,826
98,181,29,26,426
99,182,29,26,426
100,183,30,26,826
101,186,29,26,426
102,188,30,26,826
103,189,30,26,826
104,191,30,26,826
105,193,30,26,826
106,196,29,26,426
107,199,29,26,426
108,200,30,26,826
109,202,30,26,826
110,204,29,26,426
111,205,30,26,826
112,208,29,26,426
113,210,30,26,826
114,211,29,26,426
115,212,30,26,826
116,213,29,26,426
117,214,42,28,428
118,215,30,26,826
119,216,30,26,826
120,219,30,26,826
