OBJECTID,LUID,Subbasin
19186,26,115
19187,27,216
19188,27,14
19189,27,14
19190,27,14
19191,27,124
19192,27,124
19193,27,115
19194,62,216
19195,62,216
19196,62,115
19197,62,124
19198,84,216
19199,84,115
19200,84,115
19201,84,115
19202,37,115
19203,5,115
19204,5,115
19205,5,115
19206,5,115
19207,5,115
19208,5,115
19209,5,124
19210,5,115
19211,17,196
19212,17,124
19213,5,14
19214,5,115
19215,5,115
19216,5,115
19217,5,124
19218,5,115
19219,5,115
19220,5,115
19221,5,124
19222,5,115
19223,5,136
19224,5,136
19225,5,115
19226,5,124
19227,5,124
19228,5,115
19229,5,115
19230,5,115
19231,5,115
19232,5,115
19233,5,115
19234,5,124
19235,5,115
19236,5,115
19237,7,136
19238,7,136
19239,7,136
19240,7,136
19241,7,14
19242,7,115
19243,7,115
19244,7,115
19245,7,115
19246,7,124
19247,7,115
19248,7,115
19249,7,115
19250,7,221
19251,7,115
19252,7,115
19253,28,216
19254,7,124
19255,7,124
19256,7,124
19257,7,115
19258,7,115
19259,8,136
19260,8,136
19261,8,136
19262,9,216
19263,9,115
19264,9,115
19265,9,124
19266,9,124
19267,9,124
19268,9,124
19269,9,115
19270,28,136
19271,12,14
19272,12,115
19273,12,115
19274,12,124
19275,12,216
19276,12,136
19277,12,136
19278,12,110
19279,12,115
19280,12,115
19281,12,115
19282,12,115
19283,12,124
19284,12,115
19285,12,124
19286,12,115
19287,12,124
19288,12,124
19289,12,124
19290,12,124
19291,12,124
19292,12,124
19293,12,124
19294,12,124
19295,12,124
19296,12,124
19297,12,221
19298,12,221
19299,15,124
19300,15,124
19301,15,124
19302,16,14
19303,16,124
19304,16,124
19305,15,14
19306,15,115
19307,16,221
19308,16,221
19309,16,221
19310,16,225
19311,16,216
19312,16,216
19313,16,216
19314,16,216
19315,16,216
19316,16,216
19317,16,216
19318,16,216
19319,16,216
19320,16,217
19321,16,136
19322,16,136
19323,16,136
19324,16,136
19325,16,136
19326,16,136
19327,16,136
19328,16,136
19329,16,0
19330,16,136
19331,16,13
19332,16,136
19333,16,136
19334,16,14
19335,16,14
19336,16,136
19337,16,136
19338,16,110
19339,16,136
19340,16,136
19341,16,136
19342,16,110
19343,16,136
19344,16,136
19345,16,115
19346,16,115
19347,16,115
19348,16,115
19349,16,115
19350,16,115
19351,16,115
19352,16,115
19353,16,115
19354,16,115
19355,16,115
19356,16,115
19357,16,124
19358,16,124
19359,16,124
19360,16,124
19361,16,124
19362,16,124
19363,16,124
19364,16,124
19365,16,124
19366,16,124
19367,16,124
19368,16,124
19369,16,124
19370,16,124
19371,16,124
19372,16,124
19373,16,124
19374,16,124
19375,16,124
19376,16,124
19377,16,124
19378,16,124
19379,16,115
19380,16,221
19381,16,197
19382,16,136
19383,16,136
19384,16,136
19385,16,136
19386,16,136
19387,16,136
19388,16,136
19389,16,136
19390,16,136
19391,16,115
19392,16,115
19393,16,115
19394,16,115
19395,16,115
19396,16,124
19397,16,124
19398,16,124
19399,16,124
19400,16,124
19401,16,124
19402,16,124
19403,16,124
19404,16,124
19405,16,115
19406,16,124
19407,16,124
19408,16,124
19409,16,124
19410,16,124
19411,16,124
19412,2,156
19413,84,99
19414,84,156
19415,5,99
19416,5,156
19417,5,156
