BMP_Type,LU_Base,LU_Code
1,2,102
2,2,202
3,2,302
4,2,402
5,3,103
6,8,108
7,8,208
8,17,117
9,18,118
10,19,119
11,19,219
12,19,319
13,19,419
14,20,20
15,20,120
16,20,320
17,20,520
18,20,620
19,21,121
20,22,122
21,25,125
22,25,225
23,25,325
24,25,425
25,25,525
26,26,126
27,26,226
28,26,326
29,26,426
30,26,826
31,26,926
32,26,1026
33,26,1126
34,26,1226
35,27,127
36,27,227
37,27,327
38,27,427
39,28,128
40,28,228
41,28,328
42,28,428
43,28,528
44,30,130
45,31,131
46,32,132
47,32,232
48,32,332
49,33,133
50,33,233
51,34,134
52,34,234
53,35,135
54,35,235
55,36,136
56,36,236
57,36,336
58,37,137
59,37,237
60,37,337
61,38,138
62,38,238
63,38,338
64,39,139
65,39,239
66,39,339
67,39,439
68,39,539
69,39,639
70,39,739
71,40,140
72,40,240
73,62,162
74,62,262
75,62,362
76,62,462
77,62,562
78,62,662
79,62,762
80,62,862
81,68,168
82,68,268
83,68,368
84,71,171
85,72,172
86,84,184
87,84,284
88,84,384
89,84,484
90,84,584
91,84,684
92,84,784
93,84,884
94,84,984
95,85,185
96,85,285
97,85,385
98,85,485
99,85,585
100,86,186
101,86,286
102,86,386
103,86,486
104,86,586
105,87,287
106,87,387
107,87,487
108,89,189
109,89,289
110,89,389
111,89,489
112,90,190
113,90,290
114,90,390
115,90,490
